      Star               S/N  Teff   err  logg  errR  errA [Fe/H] errR  errA  micro errR  errA     ab(C)  errR  errA  [C/Fe]  errR  errA   N N3    ab(Mg)  errR  errA [Mg/Fe]  errR  errA   N N3    ab(Al)  errR  errA [Al/Fe]  errR  errA   N N3    ab(Ca)  errR  errA [Ca/Fe]  errR  errA   N N3    ab(Sc)  errR  errA [Sc/Fe]  errR  errA   N N3    ab(Ti)  errR  errA [Ti/Fe]  errR  errA   N N3     ab(V)  errR  errA  [V/Fe]  errR  errA   N N3    ab(Cr)  errR  errA [Cr/Fe]  errR  errA   N N3    ab(Mn)  errR  errA [Mn/Fe]  errR  errA   N N3    ab(Fe)  errR  errA [Fe/Fe]  errR  errA   N N3    ab(Co)  errR  errA [Co/Fe]  errR  errA   N N3    ab(Ni)  errR  errA [Ni/Fe]  errR  errA   N N3    ab(Zn)  errR  errA [Zn/Fe]  errR  errA   N N3    ab(Sr)  errR  errA [Sr/Fe]  errR  errA   N N3     ab(Y)  errR  errA  [Y/Fe]  errR  errA   N N3    ab(Zr)  errR  errA [Zr/Fe]  errR  errA   N N3    ab(Ba)  errR  errA [Ba/Fe]  errR  errA   N N3    ab(La)  errR  errA [La/Fe]  errR  errA   N N3    ab(Ce)  errR  errA [Ce/Fe]  errR  errA   N N3    ab(Nd)  errR  errA [Nd/Fe]  errR  errA   N N3    ab(Sm)  errR  errA [Sm/Fe]  errR  errA   N N3    ab(Eu)  errR  errA [Eu/Fe]  errR  errA   N N3
        HE0317-4640       54  5872   100  4.10  0.24  0.34 -2.33  0.11  0.17  1.49  0.13  0.23      6.29  0.17  0.23    0.22  0.17  0.26   1  1      5.57  0.11  0.17    0.31  0.14  0.23   7  4      3.24  0.13  0.22   -0.91  0.16  0.25   1  1      4.33  0.11  0.20    0.30  0.14  0.25   9  8      0.85  0.17  0.23    0.01  0.17  0.27   5  2      2.94  0.14  0.20    0.24  0.15  0.24  17  8     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.07  0.15  0.21   -0.28  0.16  0.23   3  3      2.38  0.16  0.20   -0.69  0.16  0.24   5  2      5.18  0.11  0.17    0.00  0.14  0.22  55 42      2.74  0.15  0.21    0.14  0.16  0.25   6  4      3.84  0.16  0.22   -0.09  0.16  0.24   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.56  0.18  0.27   -0.09  0.18  0.28   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.38  0.19  0.23   -0.19  0.18  0.27   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0323-4529       41  5127   100  2.51  0.27  0.37 -3.15  0.13  0.18  1.62  0.14  0.24      5.63  0.19  0.26    0.38  0.18  0.28   1  1      4.82  0.12  0.19    0.38  0.16  0.24   7  4      2.52  0.17  0.24   -0.81  0.18  0.26   1  1      3.52  0.12  0.20    0.30  0.15  0.25   9  5      0.16  0.18  0.23    0.13  0.16  0.25   5  4      2.20  0.16  0.21    0.32  0.15  0.24  17  9     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.16  0.17  0.22   -0.37  0.16  0.23   3  3      1.47  0.17  0.21   -0.78  0.16  0.24   5  3      4.36  0.13  0.18    0.00  0.14  0.22  55 36      2.01  0.16  0.22    0.23  0.15  0.25   6  5      3.17  0.18  0.24    0.07  0.16  0.24   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.11  0.21  0.31    0.28  0.20  0.30   3  2     -0.72  0.19  0.24    0.18  0.17  0.26   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.71  0.23  0.28    0.30  0.20  0.28   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0328-1047       52  5301   100  3.03  0.24  0.34 -2.25  0.11  0.18  1.21  0.13  0.23      6.29  0.20  0.25    0.15  0.18  0.27   1  1      5.55  0.11  0.18    0.21  0.14  0.23   7  6      3.47  0.13  0.24   -0.76  0.17  0.26   1  1      4.34  0.12  0.20    0.23  0.14  0.24   9  8      1.02  0.19  0.24    0.09  0.17  0.27   5  4      3.03  0.16  0.21    0.26  0.16  0.25  17 15      1.79  0.16  0.20    0.03  0.16  0.25   3  1      3.28  0.16  0.26   -0.14  0.17  0.26   3  3      2.70  0.16  0.21   -0.45  0.16  0.24   5  3      5.26  0.11  0.18    0.00  0.14  0.22  55 52      2.88  0.16  0.23    0.21  0.16  0.25   6  6      4.03  0.14  0.27    0.02  0.17  0.27   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.74  0.14  0.23    0.01  0.16  0.25   3  2     -0.10  0.18  0.23   -0.09  0.17  0.27   6  3     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.18  0.23  0.29   -0.07  0.22  0.30   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.31  0.18  0.23    0.42  0.17  0.28   4  1
        HE0330-4004       42  5946   100  3.78  0.27  0.37 -2.20  0.12  0.17  1.53  0.14  0.24      6.28  0.18  0.24    0.08  0.19  0.28   1  1      5.63  0.12  0.18    0.25  0.15  0.23   7  4      3.29  0.16  0.23   -0.99  0.17  0.26   1  1      4.54  0.11  0.20    0.38  0.15  0.25   9  8      1.18  0.18  0.23    0.20  0.17  0.26   5  4      3.19  0.16  0.21    0.36  0.16  0.24  17 10     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.34  0.16  0.23   -0.14  0.16  0.24   3  3      2.47  0.15  0.20   -0.72  0.16  0.24   5  3      5.31  0.12  0.17    0.00  0.14  0.22  55 43      2.82  0.15  0.21    0.09  0.16  0.25   6  3      4.02  0.16  0.22   -0.03  0.17  0.24   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.72  0.21  0.30   -0.06  0.20  0.29   3  2      0.15  0.31  0.34    0.11  0.28  0.34   6  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.09  0.22  0.26   -0.03  0.20  0.28   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0330-4144       46  5961   100  4.20  0.24  0.34 -1.90  0.10  0.17  1.52  0.14  0.24      6.69  0.16  0.23    0.19  0.17  0.26   1  1      5.96  0.11  0.17    0.28  0.14  0.23   7  5      3.71  0.13  0.23   -0.87  0.17  0.26   1  1      4.68  0.11  0.20    0.22  0.14  0.24   9  7      1.44  0.15  0.21    0.16  0.16  0.27   5  3      3.42  0.15  0.20    0.30  0.16  0.25  17 12     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.61  0.15  0.22   -0.16  0.17  0.24   3  3      3.11  0.15  0.20   -0.39  0.16  0.24   5  3      5.61  0.10  0.17    0.00  0.14  0.22  55 50      3.09  0.16  0.22    0.06  0.17  0.26   6  4      4.20  0.14  0.22   -0.15  0.17  0.25   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      1.18  0.15  0.24    0.10  0.17  0.26   3  2      0.38  0.18  0.23    0.03  0.18  0.28   6  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      0.21  0.20  0.24   -0.03  0.20  0.28   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0331-4939       40  5206   100  2.60  0.28  0.38 -2.90  0.12  0.18  1.55  0.14  0.24      5.86  0.19  0.26    0.34  0.20  0.30   1  1      5.04  0.12  0.19    0.33  0.16  0.25   7  5      2.60  0.18  0.25   -1.00  0.19  0.27   1  1      3.66  0.12  0.20    0.18  0.15  0.25   9  6      0.43  0.18  0.23    0.14  0.17  0.26   5  4      2.38  0.16  0.21    0.24  0.16  0.24  17 11     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.33  0.17  0.23   -0.47  0.17  0.24   3  3      1.84  0.16  0.21   -0.68  0.16  0.24   5  3      4.63  0.12  0.18    0.00  0.14  0.22  55 41      2.31  0.16  0.22    0.27  0.17  0.26   6  5      3.36  0.19  0.25   -0.02  0.18  0.25   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.03  0.23  0.33   -0.07  0.21  0.30   3  2     -0.67  0.19  0.24   -0.04  0.18  0.26   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.67  0.20  0.24   -0.93  0.19  0.27   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0333-4001       46  5892   100  4.31  0.26  0.36 -2.64  0.12  0.17  1.30  0.14  0.24      6.06  0.17  0.24    0.32  0.17  0.26   1  1      5.31  0.11  0.17    0.37  0.15  0.23   7  3      2.94  0.11  0.20   -0.89  0.15  0.24   1  1      4.00  0.11  0.20    0.28  0.15  0.24   9  5      0.66  0.18  0.23    0.13  0.17  0.27   5  2      2.63  0.16  0.21    0.26  0.16  0.25  17  5     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.77  0.15  0.20   -0.26  0.15  0.23   3  3      2.07  0.16  0.20   -0.68  0.16  0.24   5  3      4.86  0.12  0.17    0.00  0.14  0.22  55 36      2.50  0.15  0.21    0.23  0.15  0.25   6  2      3.64  0.16  0.21    0.03  0.16  0.24   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.18  0.18  0.26   -0.14  0.18  0.28   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.67  0.19  0.23   -0.16  0.17  0.27   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0336-3829       41  5740   100  3.22  0.25  0.35 -2.75  0.13  0.18  1.48  0.15  0.25      5.87  0.16  0.27    0.23  0.22  0.32   1  1      5.17  0.12  0.18    0.35  0.15  0.24   7  3      2.60  0.15  0.22   -1.12  0.16  0.25   1  1      4.06  0.12  0.20    0.45  0.15  0.25   9  6      0.48  0.18  0.23    0.06  0.16  0.24   5  2      2.67  0.16  0.21    0.40  0.15  0.23  17  6     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.67  0.15  0.20   -0.25  0.15  0.23   3  3      2.03  0.16  0.20   -0.61  0.15  0.23   5  3      4.75  0.13  0.18    0.00  0.14  0.22  55 34     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0      3.37  0.17  0.21   -0.13  0.16  0.23   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.07  0.25  0.33   -0.29  0.22  0.31   3  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.70  0.20  0.24   -0.08  0.17  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0337-5127       46  5247   100  2.86  0.25  0.35 -2.62  0.13  0.18  1.55  0.14  0.24      5.94  0.19  0.25    0.16  0.18  0.27   1  1      5.30  0.11  0.19    0.33  0.16  0.25   7  5      3.63  0.14  0.25   -0.23  0.17  0.27   1  1      4.08  0.13  0.21    0.33  0.14  0.25   9  8      0.67  0.18  0.23    0.11  0.16  0.26   5  4      2.67  0.17  0.22    0.26  0.15  0.24  17 12     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.83  0.17  0.25   -0.23  0.17  0.25   3  3      2.13  0.17  0.22   -0.65  0.16  0.24   5  3      4.89  0.13  0.18    0.00  0.14  0.22  55 46      2.54  0.17  0.23    0.23  0.16  0.25   6  6      3.55  0.18  0.26   -0.09  0.18  0.26   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.35  0.20  0.29   -0.01  0.19  0.29   3  2     -0.51  0.19  0.23   -0.14  0.17  0.26   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.50  0.21  0.27   -0.02  0.19  0.27   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.50  0.19  0.24    0.60  0.17  0.27   4  1
        HE0338-3945       47  6162   100  4.09  0.25  0.35 -2.41  0.13  0.18  1.33  0.14  0.24      8.05  0.15  0.23    2.07  0.16  0.27   1  1      5.56  0.11  0.17    0.39  0.15  0.24   5  1      3.37  0.15  0.22   -0.69  0.16  0.26   1  1      4.32  0.11  0.20    0.37  0.15  0.25   5  3      1.24  0.18  0.23    0.48  0.16  0.25   3  2      3.02  0.13  0.19    0.41  0.15  0.23  11  7     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0      3.22  0.16  0.22   -0.04  0.16  0.24   1  1      2.50  0.15  0.20   -0.48  0.15  0.23   4  2      5.09  0.13  0.18    0.00  0.14  0.22  35 23     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0      3.76  0.16  0.21   -0.08  0.16  0.23   4  2     -9.99  0.00  0.00   -9.99  0.00  0.00   1  0      1.29  0.16  0.24    0.73  0.16  0.26   2  2      0.56  0.19  0.24    0.73  0.17  0.25   4  1     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      2.13  0.12  0.18    2.41  0.15  0.22   2  2      1.01  0.18  0.22    2.26  0.16  0.24   3  3      1.38  0.18  0.24    2.21  0.16  0.26   7  4      1.18  0.18  0.23    2.09  0.16  0.24   5  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -0.01  0.18  0.23    1.89  0.16  0.25   3  2
        HE0339-4027       55  5896   100  4.11  0.24  0.34 -1.81  0.11  0.18  1.48  0.14  0.24      6.76  0.17  0.23    0.18  0.16  0.25   1  1      6.07  0.11  0.17    0.31  0.14  0.23   7  4      3.97  0.11  0.22   -0.69  0.16  0.26   1  1      4.90  0.11  0.20    0.35  0.14  0.24   9  9      1.45  0.17  0.22    0.09  0.16  0.27   5  4      3.46  0.15  0.20    0.25  0.15  0.24  17 13      2.27  0.15  0.19    0.08  0.15  0.24   3  1      3.79  0.14  0.23   -0.06  0.16  0.24   3  3      3.24  0.15  0.20   -0.34  0.15  0.24   5  3      5.69  0.11  0.18    0.00  0.14  0.22  55 52      3.19  0.15  0.22    0.08  0.15  0.25   6  4      4.35  0.15  0.24   -0.08  0.17  0.26   4  3      2.92  0.14  0.21    0.13  0.15  0.26   2  1      1.33  0.13  0.22    0.18  0.15  0.25   3  2      0.44  0.18  0.22    0.01  0.16  0.27   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      0.22  0.20  0.25   -0.09  0.19  0.28   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0340-3430       49  5914   100  3.81  0.25  0.35 -1.95  0.12  0.18  1.59  0.14  0.24      6.50  0.17  0.23    0.06  0.17  0.26   1  1      5.82  0.11  0.18    0.19  0.15  0.23   7  4      3.52  0.15  0.24   -1.00  0.17  0.26   1  1      4.77  0.11  0.20    0.36  0.15  0.25   9  8      1.32  0.17  0.23    0.10  0.16  0.25   5  3      3.32  0.16  0.21    0.25  0.15  0.24  17 13     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.56  0.16  0.23   -0.16  0.16  0.24   3  3      2.94  0.16  0.21   -0.50  0.15  0.23   5  3      5.55  0.12  0.18    0.00  0.14  0.22  55 48      2.92  0.14  0.20   -0.05  0.15  0.24   6  4      4.04  0.25  0.29   -0.26  0.22  0.28   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.89  0.17  0.28   -0.13  0.17  0.28   3  2     -0.02  0.25  0.28   -0.31  0.21  0.29   6  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.04  0.20  0.25   -0.22  0.18  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0340-5355       59  4862   100  1.81  0.25  0.35 -2.89  0.13  0.18  1.87  0.12  0.22      5.40  0.20  0.26   -0.11  0.18  0.28   1  1      4.66  0.10  0.18   -0.04  0.15  0.24   7  4      2.33  0.15  0.23   -1.26  0.16  0.25   1  1      3.58  0.12  0.20    0.10  0.15  0.25   9  8      0.21  0.18  0.23   -0.08  0.16  0.25   5  4      2.07  0.16  0.21   -0.07  0.15  0.23  17 13     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.28  0.16  0.24   -0.51  0.15  0.24   3  3      1.63  0.16  0.22   -0.88  0.15  0.23   5  3      4.62  0.13  0.18    0.00  0.14  0.22  55 53      1.88  0.16  0.22   -0.16  0.15  0.24   6  6      2.55  0.18  0.22   -0.82  0.16  0.23   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.44  0.23  0.33   -0.53  0.20  0.31   3  2     -1.20  0.18  0.23   -0.56  0.16  0.25   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -2.16  0.19  0.23   -1.41  0.16  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0341-4024       79  6108   100  4.20  0.24  0.34 -1.82  0.12  0.17  1.41  0.13  0.23      6.83  0.15  0.22    0.27  0.16  0.25   1  1      5.95  0.11  0.17    0.19  0.14  0.23   7  4     -9.99  0.00  0.00   -9.99  0.00  0.00   1  1      4.79  0.11  0.20    0.26  0.14  0.24   9  9      1.41  0.17  0.22    0.07  0.16  0.25   5  4      3.45  0.15  0.20    0.26  0.15  0.24  17 14     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.80  0.14  0.22   -0.05  0.15  0.24   3  3      3.10  0.14  0.20   -0.47  0.15  0.23   5  3      5.68  0.12  0.17    0.00  0.14  0.22  55 53      3.11  0.14  0.21    0.02  0.15  0.24   6  4      4.24  0.15  0.22   -0.18  0.16  0.24   4  2      2.88  0.14  0.21    0.10  0.15  0.25   2  1      1.05  0.16  0.25   -0.09  0.16  0.26   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      0.23  0.19  0.24   -0.08  0.17  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -0.62  0.18  0.23    0.69  0.16  0.26   4  1
        HE0344+0139       42  6291   100  4.18  0.26  0.36 -1.81  0.12  0.18  1.45  0.15  0.25      7.00  0.16  0.23    0.41  0.17  0.26   1  1      5.90  0.11  0.17    0.12  0.15  0.23   7  3      3.41  0.15  0.22   -1.26  0.16  0.26   1  1      4.85  0.10  0.19    0.29  0.15  0.25   9  8      1.48  0.16  0.22    0.11  0.16  0.26   5  3      3.48  0.15  0.21    0.26  0.15  0.24  17 12     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.86  0.16  0.23   -0.01  0.16  0.24   3  3      3.20  0.14  0.20   -0.39  0.15  0.23   5  3      5.70  0.12  0.18    0.00  0.14  0.22  55 47      3.12  0.15  0.21   -0.00  0.15  0.25   6  2      4.41  0.19  0.25   -0.04  0.18  0.26   4  2     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      1.03  0.20  0.29   -0.14  0.19  0.29   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      0.19  0.19  0.24   -0.14  0.17  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0347-1819       59  5198   100  4.23  0.24  0.34 -2.78  0.14  0.19  1.61  0.15  0.25      5.65  0.23  0.28    0.03  0.18  0.26   1  1      5.23  0.14  0.19    0.42  0.14  0.24   7  3      3.26  0.12  0.22   -0.44  0.15  0.25   1  1      3.94  0.13  0.20    0.35  0.14  0.24   9  8      0.46  0.18  0.24    0.07  0.16  0.26   5  2      2.41  0.17  0.22    0.16  0.15  0.24  17 11     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.84  0.15  0.21   -0.06  0.15  0.23   3  3      2.10  0.18  0.22   -0.52  0.15  0.23   5  2      4.73  0.14  0.19    0.00  0.14  0.22  55 43      2.20  0.18  0.23    0.06  0.15  0.25   6  5      3.27  0.16  0.21   -0.21  0.15  0.23   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.02  0.19  0.25   -0.18  0.17  0.26   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.15  0.20  0.25   -0.51  0.16  0.27   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0353-6024       53  5320   100  3.15  0.27  0.37 -3.17  0.13  0.18  1.49  0.14  0.24      5.51  0.19  0.25    0.29  0.17  0.27   1  1      4.62  0.12  0.21    0.21  0.17  0.26   7  4      2.49  0.12  0.21   -0.81  0.16  0.26   1  1      3.30  0.12  0.20    0.11  0.15  0.25   9  3      0.28  0.18  0.23    0.27  0.16  0.25   5  2      2.11  0.16  0.22    0.25  0.15  0.24  17  9     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.07  0.16  0.21   -0.43  0.15  0.23   3  2      1.46  0.16  0.21   -0.76  0.15  0.23   5  3      4.33  0.13  0.18    0.00  0.14  0.22  55 37      2.24  0.15  0.21    0.49  0.15  0.24   6  5      3.25  0.17  0.23    0.17  0.16  0.24   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -1.48  0.19  0.26   -1.28  0.17  0.27   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0400-2917       61  5065   100  2.39  0.25  0.35 -2.88  0.12  0.18  1.67  0.13  0.23      5.66  0.19  0.26    0.15  0.18  0.27   1  1      4.68  0.11  0.18   -0.02  0.15  0.24   7  5      2.21  0.15  0.22   -1.38  0.16  0.25   1  1      3.50  0.12  0.20    0.02  0.14  0.25   9  7      0.18  0.18  0.23   -0.11  0.16  0.25   5  4      2.12  0.16  0.21   -0.02  0.15  0.24  17 11     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.34  0.16  0.23   -0.45  0.16  0.23   3  3      1.83  0.17  0.22   -0.68  0.15  0.23   5  3      4.62  0.12  0.18    0.00  0.14  0.22  55 49      2.03  0.16  0.22   -0.01  0.15  0.25   6  5      3.23  0.18  0.26   -0.14  0.17  0.25   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.78  0.22  0.30   -0.87  0.19  0.29   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.84  0.19  0.23   -1.10  0.16  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0401-0138       56  4866   100  1.76  0.27  0.37 -3.34  0.13  0.18  1.45  0.13  0.23      5.30  0.20  0.27    0.24  0.18  0.28   1  1      4.67  0.12  0.19    0.42  0.15  0.23   7  5      2.07  0.11  0.21   -1.06  0.15  0.25   1  1      3.37  0.12  0.20    0.35  0.15  0.25   9  6     -0.06  0.18  0.23    0.11  0.16  0.25   5  4      1.97  0.16  0.21    0.28  0.15  0.23  17 10     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      1.87  0.16  0.22   -0.46  0.15  0.23   3  3      1.25  0.15  0.20   -0.80  0.15  0.23   5  3      4.16  0.13  0.18    0.00  0.14  0.22  55 41      1.82  0.16  0.22    0.24  0.15  0.24   6  5      2.94  0.18  0.26    0.02  0.17  0.26   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.26  0.23  0.35    0.11  0.21  0.33   3  2     -1.05  0.19  0.23    0.05  0.17  0.25   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.41  0.20  0.25   -0.21  0.18  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
